"quality","fixed acidity","volatile acidity","citric acid","residual sugar","chlorides","free sulfur dioxide","total sulfur dioxide","density","pH","sulphates","alcohol"
5,-0.438845257111016,0.980869715205139,-1.39103710258264,-0.575471515223571,-0.156677012243281,-0.216311953822098,-0.105417719487462,0.560145386319445,1.27567573515719,-0.560466664908587,-1.04878537017368
5,-0.157844137275677,1.76959434709978,-1.39103710258264,0.542186660803665,0.651446818135209,0.981689927814348,0.856219272389416,0.0310927305514338,-0.709581847692045,0.394233857211075,-0.534274130009631
5,-0.157844137275677,1.25603756669609,-1.18569949248043,0.154573561572691,0.460110129444934,0.236276340468231,0.55042017384613,0.137030629169616,-0.310740994226747,0.190196279857454,-0.534274130009631
6,1.51693746648763,-1.5439790964625,1.48368943884827,-0.575471515223571,-0.201660495134234,0.418918524125801,0.699784430852759,0.66576512147043,-0.979652266463261,-0.372486336651169,-0.534274130009631
5,-0.438845257111016,0.980869715205139,-1.39103710258264,-0.575471515223571,-0.156677012243281,-0.216311953822098,-0.105417719487462,0.560145386319445,1.27567573515719,-0.560466664908587,-1.04878537017368
5,-0.438845257111016,0.789471668820622,-1.39103710258264,-0.814320503714132,-0.201660495134234,0.0274588727303255,0.124977120575611,0.560145386319445,1.27567573515719,-0.560466664908587,-1.04878537017368
5,-0.0913878505570818,0.488845104623272,-1.08303068742933,-1.39153540429321,-0.491785883793599,0.236276340468231,0.675957832016611,-0.180974475871205,-0.0489046369933224,-1.75976805676615,-1.04878537017368
7,-0.513169057365276,0.740540904920312,-1.39103710258264,-3.19710956544271,-0.707139097174226,0.236276340468231,-0.788495126587106,-1.13844532306853,0.528806858336296,-1.61566346025247,-0.299859593295625
7,-0.157844137275677,0.384646601652129,-1.28836829753154,-0.362761548305389,-0.29438480062116,-0.509137246877887,-1.00702672370116,0.0310927305514338,0.337958355521631,-0.46474511678755,-0.914044176058495
5,-0.366209526333279,-0.0552580412604792,0.457001388337232,2.10882880761787,-0.390999947084415,0.418918524125801,1.45202917805983,0.560145386319445,0.273963329911831,1.0506470060927,0.228691253234575
